taxpayer_id,final_score,processing_stages
TP006253,0.1845,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1845,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1107,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0369,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    }
  },
  ""audit_history"": []
}"
TP004685,0.5,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.5,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.3,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.1,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    }
  },
  ""audit_history"": []
}"
TP001732,0.2127,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.2127,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1276,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0425,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    }
  },
  ""audit_history"": []
}"
TP004743,0.1962,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1962,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1177,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0392,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    }
  },
  ""audit_history"": []
}"
TP004522,0.5,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.5,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.3,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.1,
      ""timestamp"": ""2025-05-06T02:20:52.949619""
    }
  },
  ""audit_history"": []
}"
TP006341,0.4444,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.4444,
      ""timestamp"": ""2025-05-06T02:20:52.950619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.2666,
      ""timestamp"": ""2025-05-06T02:20:52.950619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0889,
      ""timestamp"": ""2025-05-06T02:20:52.950619""
    }
  },
  ""audit_history"": []
}"
TP000577,0.2817,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.2817,
      ""timestamp"": ""2025-05-06T02:20:52.950619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.169,
      ""timestamp"": ""2025-05-06T02:20:52.950619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0563,
      ""timestamp"": ""2025-05-06T02:20:52.950619""
    }
  },
  ""audit_history"": []
}"
TP005203,0.2282,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.2282,
      ""timestamp"": ""2025-05-06T02:20:52.950619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1369,
      ""timestamp"": ""2025-05-06T02:20:52.950619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0456,
      ""timestamp"": ""2025-05-06T02:20:52.950619""
    }
  },
  ""audit_history"": []
}"
TP006364,0.2822,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.2822,
      ""timestamp"": ""2025-05-06T02:20:52.950619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1693,
      ""timestamp"": ""2025-05-06T02:20:52.950619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0564,
      ""timestamp"": ""2025-05-06T02:20:52.952619""
    }
  },
  ""audit_history"": []
}"
TP000440,0.3376,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.3376,
      ""timestamp"": ""2025-05-06T02:20:52.953621""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.2026,
      ""timestamp"": ""2025-05-06T02:20:52.953621""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0675,
      ""timestamp"": ""2025-05-06T02:20:52.953621""
    }
  },
  ""audit_history"": []
}"
